"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","shopping cart & checkout","0","Cart management","4","0","Adds product to cart","0"
"0","user account","0","Authentication","6","0","User login","0"
"0","product catalog","0","Products sorting","2","0","sorts products by price","0"
"0","product catalog","2","Products sorting","0","0","sorts products by name","0"
"0","product catalog","0","Favorites","1","0","removes product from wishlist","0"
"0","product catalog","0","Favorites","2","0","Adds product to wishlist","0"
"0","shopping cart & checkout","0","Cart management","1","0","Removes product from cart","0"
"0","shopping cart & checkout","0","Checkout process","1","0","Checkout with multiple products","0"
